filename,name,quantity,weight,height,length,width
06933.jpg,Moroso 74299 Mini Starter Heat Shield,2,0.25,1.999999998,13.89999999,8.499999991
07621.jpg,Dunecraft Carol Cactus Science Kit; O'Neill men's Tech 24/7 long sleeve sun shirt Men's L Light olive/combat/black (4242),3,0.1,0.7666666659,0.9333333324,0.9333333324
115619.jpg,"ALEX Toys Craft Knot A Quilt Kit; Wellness CORE Grain Free Indoor Chicken & Turkey Natural Dry Cat Food, 12-Pound Bag",4,4.125139052,3.371259839,13.89586613,11.54015747
106035.jpg,"Petmate Furbuster Pet Hair Collector, TEAL/PEARL; Martha Stewart Crafts Stickers, Country Doily Large Wood Seals; Panasonic Best in Class Wireless Bluetooth On-Ear Stereo Headphones with Mic/Controller RP-BTD5-K (Black) 40 hours of Playback, Powerful Sound, iPhone, Android Compatible",4,0.4249999999,1.299999999,8.999999991,5.299999995
104008.jpg,"Wireless Charger,Itian&trade;Qi 3-coil Wireless Charging Stand A6 for Samsung Galaxy S7 S7 Edge Note5 S6 Edge Plus S6 S6 Edge LG G3 G2 Google Nexus4 5 6 7(AC Adapter Not Included)-Black",1,0.7,3.399999997,8.999999991,4.199999996
112426.jpg,"McCormick Basil Leaves, 5-Ounce; HERO-LED PS-12LPS200-DIM ETL-listed Dimmable LED Constant Voltage Power Supply - Dimmble LED Transformer 12V DC, 16.7A, 200W; Alice Through the Looking Glass Chromosphere Necklace",4,0.836023,2.249999998,8.924999991,4.949999995
02589.jpg,35 Pack Creative Hands by Fibre-Craft - Multicolored Foam Daisy Shapes - Teaches Creativity - Multipurpose -,2,0.25,2.699999997,6.099999994,5.899999994
103667.jpg,"University of Northern Colorado Garden Flag and Yard Banner; 4-Pack Philips 419762 39-watt PAR20 EcoVantage Dimmable Flood Light Light Bulb,; Cycle Torch Night Owl Bike Light USB Rechargeable - Perfect Urban Commuter Bicycle Light Set - Bright TAIL LIGHT Included - Compatible with Mountain, Road ,Kids & City Bicycles (Sky Blue); Tootsie Fruit Rolls Assorted Flavors (1 LB) - With BONUS ITEM",5,0.5999999995,1.819999998,8.059999992,4.059999996
08184.jpg,"(Pack of 3) The Organic Coffee Co. Ground, French Roast, 12 Ounce; Discraft Buzzz Elite Z Fly Dye Golf Disc, 170-172 grams",2,1.875,3.099999997,8.749999991,8.499999991
102975.jpg,DLLL RGB UFO LED Light Full Color Changing Stage Light Transparent White LED Stage Light 48LED AC100-240V US Plug DJ Disco Club Home Party Light/Disco DJ Stage Lighting LED RGB Crystal Light DJ Disco KTV Birthday Party Wedding Show Club Pub Bar,2,0.25,2.299999998,5.499999994,5.399999994
106465.jpg,Fisher-Price Chatter Telephone; BLU Advance 4.0 L2 - US GSM Unlocked - White,2,0.7999999993,3.149999997,5.999999994,4.949999995
104458.jpg,"McCall's Patterns M6211 Misses' Lined Vest and Jacket; Belt and Pants, Size FF (16-18-20-22); Carcassonne Board Game",3,1.255181398,1.918110234,9.858267706,6.939370072
112076.jpg,No items,0,0,0,0,0
116035.jpg,"derma e Skinbiotics Treatment Creme, 4 Ounce; Lundberg Sprouted Brown Basmati Rice, 1 Pound",5,0.61,2.799999997,3.859999996,3.259999997
06030.jpg,"Corelle Livingware 28-Ounce Super Soup/Cereal Bowl, Navy Blue (3 Bowls)",1,2.05,5.099999995,9.199999991,7.799999992
114008.jpg,"Yuasa YUAM2S6CL YB16CL-B Battery; GSeat - Orthopedic Memory Foam and Gel Seat Cushion for Back Pain and Sciatica Relief; 4 Pack Motorola MH230R Rechargeable Two Way Radio; EVGA GeForce GTX 970 4GB FTW+ GAMING ACX 2.0+, Whisper Silent Cooling w/ Free Installed Backplate Graphics Card 04G-P4-3978-KR",5,5.9,3.579999996,11.31999999,7.999999992
102426.jpg,Command Outdoor Light Clips with 32-Clips and 36-Strips; 5 Ft Long 2A AC/DC Wall Power Charger Adapter Cord For Digiland DL1010Q 10.1 Inch Tablet PC,4,0.2124999999,1.949999998,4.324999996,3.274999997
105619.jpg,"Inglesina - Fast Table Chair With Dining Tray - Dark Green; Baja Precious - Grapeseed Oil, 1 Gallon",2,7.599999997,6.449999993,12.64999999,9.249999991
118928.jpg,"Pack of 50 US Art Supply Art Mats Brand Premier High Quality Acid-Free Pre-Cut 5x7 inch White Picture Mat Matte Sets. Includes a White Core Bevel Cut Mattes for 4x6 Photos, Pack of 50 Backers & Pack of 50 Crystal Clear Plastic Sleeves Bags.; Dafin Swim Fin, Black, Medium",2,2.074999948,4.799993895,13.69998859,9.149991691
03232.jpg,Texas Longhorns OYO NCAA Trainer Cart,1,0.3999999997,1.699999998,7.899999992,6.099999994
116465.jpg,"The Call of the Wild (Townsend Library Edition); TMH® 27w Round Shape 60 Degree LED Work Light Flood Beam Spot Lamp Driving Light, Jeep, Off-road, 4wd, 4x4, Utv, Sand Rail, Atv, Suv, Motorbike, Motorcycle, Bike, Dirt Bike, Bus, Trailer, Truck, Train, Mining Truck, Excavator, Bulldozer, Crane, Road Roller, Fork Lift, Fire Engine, Police & Rescue Vehicle, Military Vehicle, Camping, Courtyard Lamp, Fishing, Boat, Yacht, Road Lamp, Tractor, Golf, Street Light, Fog Lamp, Day Light, Marine Deck; Galaxy S7 Edge Case, TORU [Prestizio Wallet] S7 Edge Wallet Case with [CARD SLOT][ID HOLDER][KICKSTAND][WRIST STRAP] - Premium Wristlet Leather Flip Cover for Samsung Galaxy S 7 Edge - Black",5,0.2299999998,1.119999999,6.579999997,4.109999998
06460.jpg,"(Pack of 44) Mott's 100% Fruit Punch Juice, 4.23 fl oz boxes; Giro Savant Bike Helmet - Blue/Black Medium",2,7.6,4.949999995,14.74999998,8.699999991
03398.jpg,"Smead Poly Frequency Expanding File, 12 Pockets, Flap and Cord Closure, Letter Size, Blue/Black ( 70863); Ultra Force G.I. Style Double-Strap Duffle Bag - Black,22"" x 38""; Pennzoil 550038340 High Mileage Vehicle 5W-30 Motor Oil (SN) 5qt jug",4,3.437499998,2.574999997,12.74999999,9.274999991
